Word,Description
Eggar,moth having nonfunctional mouthparts as adults; larvae feed on tree foliage and spin egg-shaped cocoons
Egger,moth having nonfunctional mouthparts as adults; larvae feed on tree foliage and spin egg-shaped cocoons
Egret,any of various usually white herons having long plumes during breeding season
Egypt,an ancient empire to the west of Israel; centered on the Nile River and ruled by a Pharaoh; figured in many events described in the Old Testament
Eibit,a unit of information equal to 1024 pebibits or 2^60 bits
Eider,duck of the northern hemisphere much valued for the fine soft down of the females
Eidos,(anthropology) the distinctive expression of the cognitive or intellectual character of a culture or a social group
Eigen,German chemist who did research on high-speed chemical reactions (born in 1927)
Eight,being one more than seven
Eject,eliminate (a substance)
Ekman,Swedish oceanographer who recognized the role of the Coriolis effect on ocean currents (1874-1954)
Eland,either of two large African antelopes of the genus Taurotragus having short spirally twisted horns in both sexes
Elate,fill with high spirits; fill with optimism
Elbow,the joint of a mammal or bird that corresponds to the human elbow
Elder,used of the older of two persons of the same name especially used to distinguish a father from his son
Elect,elected but not yet installed in office
Elegy,a mournful poem; a lament for the dead
Elemi,fragrant resin obtain from trees of the family Burseraceae and used as incense
Elfin,small and delicate
Elgar,British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)
Elide,leave or strike out
Elint,intelligence derived from electromagnetic radiations from foreign sources (other than radioactive sources)
Eliot,British writer of novels characterized by realistic analysis of provincial Victorian society (1819-1880)
Elisa,an assay that relies on an enzymatic conversion reaction and is used to detect the presence of specific substances (such as enzymes or viruses or antibodies or bacteria)
Elite,selected as the best
Ellas,a republic in southeastern Europe on the southern part of the Balkan peninsula; known for grapes and olives and olive oil
Ellul,the twelfth month of the civil year; the sixth month of the ecclesiastical year in the Jewish calendar (in August and September)
Elope,run away secretly with one's beloved
Elops,type genus of the Elopidae: tenpounder
Elude,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
Elute,"wash out with a solvent, as in chromatography"
Elver,young eel
Elves,an acronym for emissions of light and very low frequency perturbations due to electromagnetic pulse sources; extremely bright extremely short (less than a msec) electrical flashes forming a huge ring (up to 400 km diameter) in the ionosphere
Elvis,street name for lysergic acid diethylamide
Email,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
Embed,"attach to, as a journalist to a military unit when reporting on a war"
Ember,a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
Emcee,a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)
Emeer,an independent ruler or chieftain (especially in Africa or Arabia)
Emend,make improvements or corrections to
Emery,a hard grey-black mineral consisting of corundum and either hematite or magnetite; used as an abrasive (especially as a coating on paper)
Emile,the boy whose upbringing was described by Jean-Jacques Rousseau
Emmer,hard red wheat grown especially in Russia and Germany; in United States as stock feed
Emmet,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
Emote,"give expression or emotion to, in a stage or movie role"
Empty,holding or containing nothing
Enact,act out; represent or perform as if in a play
Enate,related on the mother's side
Ended,having come or been brought to a conclusion
Endow,furnish with an endowment
Endue,give qualities or abilities to
Enema,an injection of a liquid through the anus to stimulate evacuation; sometimes used for diagnostic purposes
Enemy,any hostile group of people
Enets,the Uralic language spoken by the Yeniseian
Enjoy,take delight in
Enlil,god of the air and king of the Sumerian gods
Ennui,the feeling of being bored by something tedious
Enrol,register formally as a participant or member
Ensis,razor clams
Ensky,exalt to the skies; lift to the skies or to heaven with praise
Ensue,"issue or terminate (in a specified way, state, etc.); end"
Enter,set out on (an enterprise or subject of study)
Entry,the act of entering
Entsi,the Uralic language spoken by the Yeniseian
Entsy,the Uralic language spoken by the Yeniseian
Enuki,any of a group of powerful Babylonian earth spirits or genii; servitors of the gods
Envoi,a brief stanza concluding certain forms of poetry
Envoy,a brief stanza concluding certain forms of poetry
Eolic,the dialect of Ancient Greek spoken in Thessaly and Boeotia and Aeolis
Eosin,a red fluorescent dye resulting from the action of bromine on fluorescein; used in cosmetics and as a biological stain for studying cell structures
Ephah,an ancient Hebrew unit of dry measure equal to about a bushel
Epoch,a unit of geological time that is a subdivision of a period and is itself divided into ages
Epona,(possibly Roman mythology) Celtic goddess of horses and mules and asses
Epoxy,a thermosetting resin; used chiefly in strong adhesives and coatings and laminates
Eprom,(computer science) a read-only memory chip that can be erased by ultraviolet light and programmed again with new data
Equal,having the requisite qualities or resources to meet a task
Equid,hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck
Equip,provide with abilities or understanding
Equus,type genus of the Equidae: only surviving genus of the family Equidae
Erase,remove from memory or existence
Erato,(Greek mythology) the Muse of lyric and love poetry
Erect,of sexual organs; stiff and rigid
Ergot,a fungus that infects various cereal plants forming compact black masses of branching filaments that replace many grains of the plant; source of medicinally important alkaloids and of lysergic acid
Erica,any plant of the genus Erica
Ernst,"painter (born in Germany, resident of France and the United States) who was a cofounder of dadaism; developed the technique of collage (1891-1976)"
Erode,remove soil or rock
Erose,having an irregularly notched or toothed margin as though gnawed
Error,a wrong action attributable to bad judgment or ignorance or inattention
Eruca,annual to perennial herbs of the Mediterranean region
Eruct,expel gas from the stomach
Erupt,become active and spew forth lava and rocks
Esaki,physicist honored for advances in solid state electronics (born in Japan in 1925)
Esker,(geology) a long winding ridge of post glacial gravel and other sediment; deposited by meltwater from glaciers or ice sheets
Espoo,a city in southern Finland
Essay,a tentative attempt
Essen,a city in western Germany; industrial center of the Ruhr
Essex,a county in southeastern England on the North Sea and the Thames estuary
Ester,formed by reaction between an acid and an alcohol with elimination of water
Ether,a colorless volatile highly inflammable liquid formerly used as an inhalation anesthetic
Ethic,the principles of right and wrong that are accepted by an individual or a social group
Ethos,(anthropology) the distinctive spirit of a culture or an era
Ethyl,the univalent hydrocarbon radical C2H5 derived from ethane by the removal of one hydrogen atom
Etude,a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity
Euler,Swiss mathematician (1707-1783)
Evade,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
Evans,British archaeologist who excavated the palace of Knossos in Crete to find what he called Minoan civilization (1851-1941)
Evenk,a member of the Tungus speaking people of Mongolian race who are a nomadic people widely spread over eastern Siberia; related to the Manchu
Event,something that happens at a given place and time
Evers,United States civil rights worker in Mississippi; was killed by a sniper (1925-1963)
Evert,United States tennis player who won women's singles titles in the United States and at Wimbledon (born in 1954)
Every,(used of count nouns) each and all of the members of a group considered singly and without exception
Evict,expel from one's property or force to move out by a legal process
Evoke,call to mind
Exact,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth ; strictly correct"
Exalt,"raise in rank, character, or status"
Excel,distinguish oneself
Exert,put to use
Exile,the act of expelling a person from their native land
Exist,"have an existence, be extant"
Exode,a farcical afterpiece in the ancient Roman theater
Expat,a person who is voluntarily absent from home or country
Expel,eliminate (a substance)
Extol,"praise, glorify, or honor"
Extra,further or added
Exude,release (a liquid) in drops or small quantities
Exult,to express great joy
Eyrie,any habitation at a high altitude
Eyrir,100 aurar equal 1 krona in Iceland
Fable,a story about mythical or supernatural beings or events
Faced,having a face or facing especially of a specified kind or number; often used in combination
Facer,(a dated Briticism) a serious difficulty with which one is suddenly faced
Facet,a distinct feature or element in a problem
Facia,a sheet or band of fibrous connective tissue separating or binding together muscles and organs etc
Faddy,intensely fashionable for a short time
Faded,having lost freshness or brilliance of color
Faery,the enchanted realm of fairies
Fagin,a villainous Jew in a novel by Charles Dickens
Fagot,a bundle of sticks and branches bound together
Fagus,beeches
Faint,lacking conviction or boldness or courage
Fairy,"a small being, human in form, playful and having magical powers"
Faith,loyalty or allegiance to a cause or a person
Faker,a person who makes deceitful pretenses
Fakir,a Muslim or Hindu mendicant monk who is regarded as a holy man
Falco,a genus of Falconidae
Falla,Spanish composer and pianist (1876-1946)
Falls,a steep descent of the water of a river
False,(used especially of persons) not dependable in devotion or affection; unfaithful
Famed,widely known and esteemed
Fancy,not plain; decorative or ornamented
Fanny,external female sex organs
Faqir,a Muslim or Hindu mendicant monk who is regarded as a holy man
Farad,the capacitance of a capacitor that has an equal and opposite charge of 1 coulomb on each plate and a voltage difference of 1 volt between the plates
Farce,a comedy characterized by broad satire and improbable situations
Fargo,largest city in North Dakota; located in eastern North Dakota on the Red river
Farsi,the language of Persia (Iran) in any of its ancient forms
Fatah,a Palestinian political and military organization founded by Yasser Arafat in 1958 to work toward the creation of a Palestinian state; during the 1960s and 1970s trained terrorist and insurgent groups
Fatal,controlled or decreed by fate; predetermined
Fated,(usually followed by `to') determined by tragic fate
Fatso,a rotund individual
Fatty,containing or composed of fat
Fatwa,a ruling on a point of Islamic law that is given by a recognized authority
Fauld,a piece of armor plate below the breastplate
Fault,a wrong action attributable to bad judgment or ignorance or inattention
Fauna,a living organism characterized by voluntary movement
Faust,an alchemist of German legend who sold his soul to Mephistopheles in exchange for knowledge
Fauve,a member of a group of French painters who followed fauvism
Favor,an act of gracious kindness
Favus,a contagious fungal infection of the scalp; occurs mainly in Africa and the Middle East
Fazed,caused to show discomposure
Feast,something experienced with great delight
Fecal,of or relating to feces
Feces,solid excretory product evacuated from the bowels
Feign,make believe with the intent to deceive
Feint,any distracting or deceptive maneuver (as a mock attack)
Feist,a nervous belligerent little mongrel dog
Felid,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws"
Felis,type genus of the Felidae: true cats and most wildcats
Fella,a boy or man
Felly,rim (or part of the rim) into which spokes are inserted
Felon,someone who has committed a crime or has been legally convicted of a crime
Femur,the longest and thickest bone of the human skeleton; extends from the pelvis to the knee
Fence,a barrier that serves to enclose an area
Feoff,a piece of land held under the feudal system
Feral,wild and menacing
Feria,"(in Spanish speaking regions) a local festival or fair, usually in honor of some patron saint"
Fermi,Italian nuclear physicist (in the United States after 1939) who worked on artificial radioactivity caused by neutron bombardment and who headed the group that in 1942 produced the first controlled nuclear reaction (1901-1954)
Ferny,abounding in or covered with ferns
Ferry,transport by boat or aircraft
Fesse,(heraldry) an ordinary consisting of a broad horizontal band across a shield
Fetal,of or relating to a fetus
Fetch,the action of fetching
Fetid,offensively malodorous
Fetor,a distinctive odor that is offensively unpleasant
Fetus,an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal
Fever,intense nervous anticipation
Fewer,(comparative of `few' used with count nouns) quantifier meaning a smaller number of
Fhlmc,a corporation authorized by Congress to provide a secondary market for residential mortgages
Fiber,a leatherlike material made by compressing layers of paper or cloth
Fibre,a leatherlike material made by compressing layers of paper or cloth
Fichu,a lightweight triangular scarf worn by a woman
Ficus,large genus of tropical trees or shrubs or climbers including fig trees
Field,a particular kind of commercial enterprise
Fiend,an evil supernatural being
Fiery,like or suggestive of fire
Fifth,coming next after the fourth and just before the sixth in position
Fifty,being ten more than forty
Fight,a boxing or wrestling match
Fijis,a group of more than 800 islands (100 inhabited) in the southwestern Pacific; larger islands (Viti Levu and Vanua Levu) are of volcanic origin surrounded by coral reefs; smaller islands are coral
Filar,related to or having filaments (especially across a field of view as in the eyepiece of a telescope)
Filch,make off with belongings of others
Filer,a clerk who is employed to maintain the files of an organization
Filet,lace having a square mesh
Fille,a young woman
Filly,a young female horse under the age of four
Filmy,so thin as to transmit light
Filth,an offensive or indecent word or phrase
Filum,a threadlike structure (as a chainlike series of cells)
Final,not to be altered or undone
Finch,any of numerous small songbirds with short stout bills adapted for crushing seeds
Finer,(comparative of `fine') greater in quality or excellence
Finis,the concluding part of any performance
Fiord,a long narrow inlet of the sea between steep cliffs; common in Norway
Fired,having lost your job
First,ranking above all others
Firth,a long narrow estuary (especially in Scotland)
Fishy,not as expected
Fitch,dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
Fitly,in an appropriate manner
Fiver,a United States bill worth 5 dollars
Fives,a game resembling handball; played on a court with a front wall and two side walls
Fixed,incapable of being changed or moved or undone; e.g.
Fixer,synthetic narcotic drug similar to morphine but less habit-forming; used in narcotic detoxification and maintenance of heroin addiction
Fizzy,hissing and bubbling
Fjord,a long narrow inlet of the sea between steep cliffs; common in Norway
Flack,artillery designed to shoot upward at airplanes
Flail,an implement consisting of handle with a free swinging stick at the end; used in manual threshing
Flair,distinctive and stylish elegance
Flake,a small fragment of something broken off from the whole
Flaky,conspicuously or grossly unconventional or unusual
Flame,the process of combustion of inflammable materials producing heat and light and (often) smoke
Flank,the side between ribs and hipbone
Flaps,a movable airfoil that is part of an aircraft wing; used to increase lift or drag
Flare,(baseball) a fly ball hit a short distance into the outfield
Flash,tastelessly showy
Flask,bottle that has a narrow neck
Flats,footwear (shoes or slippers) with no heel (or a very low heel)
Fleck,a small contrasting part of something
Fleer,contempt expressed by mockery in looks or words
Fleet,moving very fast
Flesh,alternative names for the body of a human being
Fletc,a center in the Department of that trains law enforcement professionals for more than seventy federal agencies
Flick,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
Flier,an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
Flies,(theater) the space over the stage (out of view of the audience) used to store scenery (drop curtains)
Fling,the act of flinging
Flint,showing unfeeling resistance to tender feelings
Flirt,playful behavior intended to arouse sexual interest
Float,an air-filled sac near the spinal column in many fishes that helps maintain buoyancy
Flock,a group of birds
Flood,a large flow
Floor,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
Flora,(botany) a living organism lacking the power of locomotion
Flory,United States chemist who developed methods for studying long-chain molecules (1910-1985)
Floss,a soft thread for cleaning the spaces between the teeth
Flour,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
Flout,treat with contemptuous disregard
Fluff,a blunder (especially an actor's forgetting the lines)
Fluid,subject to change; variable
Fluke,parasitic flatworms having external suckers for attaching to a host
Fluky,subject to accident or chance or change
Flume,watercourse that consists of an open artificial chute filled with water for power or for carrying logs
Flump,set (something or oneself) down with or as if with a noise
Flunk,failure to reach a minimum required performance
Fluor,a soft mineral (calcium fluoride) that is fluorescent in ultraviolet light; chief source of fluorine
Flush,"of a surface exactly even with an adjoining one, forming the same plane"
Flute,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
Flyer,an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
Foamy,producing or covered with lathery sweat or saliva from exhaustion or disease
Focal,having or localized centrally at a focus
Focus,maximum clarity or distinctness of an image rendered by an optical system
Foehn,a warm dry wind that blows down the northern slopes of the Alps
Fogey,someone whose style is out of fashion
Foggy,obscured by fog
Foist,insert surreptitiously or without warrant
Folie,(psychiatry) a psychological disorder of thought or emotion; a more neutral term than mental illness
Folio,a book (or manuscript) consisting of large sheets of paper folded in the middle to make two leaves or four pages
Folks,people in general (often used in the plural)
Folly,foolish or senseless behavior
Fomes,genus of bracket fungi forming corky or woody perennial shelflike sporophores often of large size; includes some that cause destructive heartrot in trees
Fomor,one of a group of Celtic sea demons sometimes associated with the hostile power of nature
Fonda,United States film actor (1905-1982)
Fondu,hot cheese or chocolate melted to the consistency of a sauce into which bread or fruits are dipped
Foram,marine microorganism having a calcareous shell with openings where pseudopods protrude
Foray,an initial attempt (especially outside your usual areas of competence)
Force,a putout of a base runner who is required to run; the putout is accomplished by holding the ball while touching the base to which the runner must advance before the runner reaches that base
Forge,a workplace where metal is worked by heating and hammering
Forgo,"lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
Forte,used chiefly as a direction or description in music
Forth,out into view
Forty,being ten more than thirty
Forum,a public facility to meet for open discussion
Fossa,largest carnivore of Madagascar; intermediate in some respects between cats and civets
Fosse,ditch dug as a fortification and usually filled with water
Found,come upon unexpectedly or after searching
Fount,a plumbing fixture that provides a flow of water
Fovea,area consisting of a small depression in the retina containing cones and where vision is most acute
Foyer,a large entrance or reception room or area
Frail,easily broken or damaged or destroyed
Frame,one of the ten divisions into which bowling is divided
Franc,the basic monetary unit in many countries; equal to 100 centimes
Frank,characterized by directness in manner or speech; without subtlety or evasion
Fraud,something intended to deceive; deliberate trickery intended to gain an advantage
Freak,someone who is so ardently devoted to something that it resembles an addiction
Freon,"any one or more chlorofluorocarbons (or related compounds) that are used as an aerosol propellant, organic solvent, or refrigerant"
Fresh,improperly forward or bold
Fress,eat a lot and without restraint
Freud,Austrian neurologist who originated psychoanalysis (1856-1939)
Freya,(Norse mythology) goddess of love and fecundity; daughter of Njorth and sister of Frey
Freyr,(Norse mythology) god of earth's fertility and peace and prosperity; son of Njorth and brother of Freya; originally of the Vanir; later with the Aesir
Gabby,full of trivial conversation
Gable,the vertical triangular wall between the sloping ends of gable roof
Gabon,a republic on the west coast of Africa
Gabor,British physicist (born in Hungary) noted for his work on holography (1900-1979)
Gabun,a republic on the west coast of Africa
Gaddi,a cushion on a throne for a prince in India
Gadus,type genus of the Gadidae: the typical codfishes
Gaffe,a socially awkward or tactless act
Gafsa,a city in west central Tunisia
Gaily,in a gay manner
Gaius,Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41)
Galan,"a mountain peak in the Andes in Argentina (21,654 feet high)"
Galax,tufted evergreen perennial herb having spikes of tiny white flowers and glossy green round to heart-shaped leaves that become coppery to maroon or purplish in fall
Galea,an organ shaped like a helmet; usually a vaulted and enlarged petal as in Aconitum
Galen,Greek anatomist whose theories formed the basis of European medicine until the Renaissance (circa 130-200)
Gamba,viol that is the bass member of the viol family with approximately the range of the cello
Gamey,willing to face danger
Gamin,(sometimes offensive) a homeless boy who has been abandoned and roams the streets
Gamma,the 3rd letter of the Greek alphabet
Gammy,(British informal) sore or lame
Gamow,United States physicist (born in Russia) who was a proponent of the big-bang theory and who did research in radioactivity and suggested the triplet code for DNA (1904-1968)
Gamut,a complete extent or range:
Ganef,(Yiddish) a thief or dishonest person or scoundrel (often used as a general term of abuse)
Ganja,"the most commonly used illicit drug; considered a soft drug, it consists of the dried leaves of the hemp plant; smoked or chewed for euphoric effect"
Ganof,(Yiddish) a thief or dishonest person or scoundrel (often used as a general term of abuse)
Gansu,a province in north-central China; formerly part of the Silk Road to Turkistan and India and Persia
Garbo,United States film actress (born in Sweden) known for her reclusiveness (1905-1990)
Gassy,suffering from excessive gas in the alimentary canal
Gates,United States computer entrepreneur whose software company made him the youngest multi-billionaire in the history of the United States (born in 1955)
Gator,either of two amphibious reptiles related to crocodiles but with shorter broader snouts
Gaudi,Spanish architect who was a leading exponent of art nouveau in Europe (1852-1926)
Gaudy,(used especially of clothes) marked by conspicuous display
Gauge,a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
Gaunt,very thin especially from disease or hunger or cold
Gauri,"in Hinduism, goddess of purity and posterity and a benevolent aspect of Devi; the `brilliant'"
Gauss,German mathematician who developed the theory of numbers and who applied mathematics to electricity and magnetism and astronomy and geodesy (1777-1855)
Gauze,a net of transparent fabric with a loose open weave
Gauzy,so thin as to transmit light
Gavel,a small mallet used by a presiding officer or a judge
Gavia,type genus of the Gavidae: loons
Gawky,lacking grace in movement or posture
Gayal,ox of southeast Asia sometimes considered a domesticated breed of the gaur
Gayly,in a joyous manner
Gecko,any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless
Gelid,extremely cold
Gelly,a type of dynamite in which the nitroglycerin is absorbed in a base of wood pulp and sodium or potassium nitrate
Gemma,small asexual reproductive structure in e.g. liverworts and mosses that detaches from the parent and develops into a new individual
Genet,agile Old World viverrine having a spotted coat and long ringed tail
Genic,of or relating to or produced by or being a gene
Genie,(Islam) an invisible spirit mentioned in the Koran and believed by Muslims to inhabit the earth and influence mankind by appearing in the form of humans or animals
Genip,round one-inch Caribbean fruit with green leathery skin and sweet juicy translucent pulp; eaten like grapes
Genoa,a seaport in northwestern Italy; provincial capital of Liguria
Genre,a class of art (or artistic endeavor) having a characteristic form or technique
Genus,a general kind of something
Geode,(mineralogy) a hollow rock or nodule with the cavity usually lined with crystals
Gerea,small genus of hairy herbs with yellow flowers
Germy,full of germs or pathological microorganisms
Gesso,gypsum or plaster of Paris spread on a surface to make it suitable for painting or gilding (or a surface so prepared)
Getup,a set of clothing (with accessories)
Ghana,a republic in West Africa on the Gulf of Guinea
Ghent,port city in northwestern Belgium and industrial center; famous for cloth industry
Ghost,a mental representation of some haunting experience
Ghoul,an evil spirit or ghost
Giant,of great mass; huge and bulky
Gibbs,United States chemist (1839-1903)
Gibit,"a unit of information equal to 1024 mebibits or 2^30 (1,073,741,824) bits"
Gidar,a Chadic language spoken south of Lake Chad
Giddy,lacking seriousness; given to frivolity
Gigot,lamb leg suitable for roasting
Gigue,music in three-four time for dancing a jig
Gimel,the 3rd letter of the Hebrew alphabet
Gimpy,disabled in the feet or legs
Ginep,tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp
Ginzo,(ethnic slur) offensive term for a person of Italian descent
Gipsy,"a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)"
Girru,the Babylonian god of fire; often invoked in incantations against sorcery
Girth,stable gear consisting of a band around a horse's belly that holds the saddle in place
Gismo,a device or control that is very useful for a particular job
Given,acknowledged as a supposition
Giver,person who makes a gift of property
Gizeh,an ancient Egyptian city on the west bank of the Nile opposite Cairo; site of three Great Pyramids and the Sphinx
Gizmo,a device or control that is very useful for a particular job
Glace,(used especially of fruits) preserved by coating with or allowing to absorb sugar
Glade,a tract of land with few or no trees in the middle of a wooded area
Gland,any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream
Glans,a small rounded structure; especially that at the end of the penis or clitoris
Glare,an angry stare
Glary,shining intensely
Glass,a small refracting telescope
Glaux,sea milkwort
Glaze,"a coating for ceramics, metal, etc."
Gleam,an appearance of reflected light
Glean,"gather, as of natural products"
Gleba,fleshy spore-bearing inner mass of e.g. a puffball or stinkhorn
Glebe,plot of land belonging to an English parish church or an ecclesiastical office
Gleet,a thin morbid discharge as from a wound or especially chronic gonorrhea
Glenn,made the first orbital rocket-powered flight by a United States astronaut in 1962; later in United States Senate (1921-)
Glial,of or relating to neuroglia
Glide,the activity of flying a glider
Glint,a spatially localized brightness
Glitz,tasteless showiness
Gloam,the time of day immediately following sunset
Gloat,malicious satisfaction
Globe,a sphere on which a map (especially of the earth) is represented
Glogg,Scandinavian punch made of claret and aquavit with spices and raisins and orange peel and sugar
Gloom,a feeling of melancholy apprehension
Glory,brilliant radiant beauty
Gloss,an outward or token appearance or form that is deliberately misleading
Glove,the handwear used by fielders in playing baseball
Gluck,German composer of more than 100 operas (1714-1787)
Glued,affixed or as if affixed with glue or paste
Gluey,having the sticky properties of an adhesive
Glume,small dry membranous bract found in inflorescences of Gramineae and Cyperaceae
Gluon,a gauge boson that mediates strong interaction among quarks
Glute,any one of three large skeletal muscles that form the buttock and move the thigh
Glyph,glyptic art in the form of a symbolic figure carved or incised in relief
Gnarl,something twisted and tight and swollen
Gnash,"grind together, of teeth"
Gnome,a short pithy saying expressing a general truth
Gobio,true gudgeons
Godel,United States mathematician (born in Austria) who is remembered principally for demonstrating the limitations of axiomatic systems (1906-1978)
Godly,emanating from God; ; ; -Saturday Review
Gofer,an employee whose duties include running errands
Gogol,Russian writer who introduced realism to Russian literature (1809-1852)
Going,in full operation
Golan,a fortified hilly area between southern Lebanon and southern Syria
Golem,a mechanism that can move automatically
Golgi,Italian histologist noted for work on the structure of the nervous system and for his discovery of Golgi bodies (1844-1926)
Gomel,industrial city of Belarus to the southeast of Minsk
Gonad,a gland in which gametes (sex cells) are produced
Gondi,a Dravidian language spoken by the Gond in south central India
Goner,a person in desperate straits; someone doomed
Gonif,(Yiddish) a thief or dishonest person or scoundrel (often used as a general term of abuse)
Gonne,Irish patriot and a founder of the Sinn Fein (1865-1953)
Gonzo,conspicuously or grossly unconventional or unusual
Goody,something considered choice to eat
Gooey,soft and sticky
Goofy,"ludicrous, foolish"
Goony,a variety of albatross with black feet
Goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
Goosy,having or revealing stupidity
Goral,small goat antelope with small conical horns; of southern Asian mountains
Gorge,the passage between the pharynx and the stomach
Gorki,an industrial city in the European part of Russia; birthplace of Maksim Gorky
Gorky,an industrial city in the European part of Russia; birthplace of Maksim Gorky
Gorse,very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe
Gouda,mild cream-colored Dutch cheese shaped in balls
Goudy,United States printer noted for designing typefaces (1865-1947)
Gouge,the act of gouging
Gould,United States financier who gained control of the Erie Canal and who caused a financial panic in 1869 when he attempted to corner the gold market (1836-1892)
Gourd,bottle made from the dried shell of a bottle gourd
Gouty,suffering from gout
Grace,a disposition to kindness and compassion
Grade,a variety of cattle produced by crossbreeding with a superior breed
Graft,the act of grafting something onto something else
Grail,(legend) chalice used by Christ at the Last Supper
Grain,the physical composition of something (especially with respect to the size and shape of the small constituents of a substance)
Grama,pasture grass of plains of South America and western North America
Grand,used of a person's appearance or behavior; befitting an eminent person
Grant,the act of providing a subsidy
Grape,a cluster of small projectiles fired together from a cannon to produce a hail of shot
Graph,a visual representation of the relations between certain quantities plotted with reference to a set of axes
Grapo,an armed wing of the (illegal) Communist Party of Spain; seeks to overthrow the Spanish government and replace it with a Marxist-Leninist regime
Grapy,having a taste like that of grapes
Grasp,the act of grasping
Grass,street names for marijuana
Grate,a frame of iron bars to hold a fire
Grave,causing fear or anxiety by threatening great harm
Gravy,a sudden happening that brings good fortune (as a sudden opportunity to make money)
Graze,the act of grazing
Great,in an advanced stage of pregnancy
Grebe,small compact-bodied almost completely aquatic bird that builds floating nests; similar to loons but smaller and with lobate rather than webbed feet
Greco,Spanish painter (born in Greece) remembered for his religious works characterized by elongated human forms and dramatic use of color (1541-1614)
Greed,reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
Greek,of or relating to or characteristic of Greece or the Greeks or the Greek language
Green,of the color between blue and yellow in the color spectrum; similar to the color of fresh grass
Greet,react to in a certain way
Grias,anchovy pear tree
Grief,something that causes great unhappiness
Grieg,Norwegian composer whose work was often inspired by Norwegian folk music (1843-1907)
Grill,a framework of metal bars used as a partition or a grate
Grime,the state of being covered with unclean things
Grimm,the older of the two Grimm brothers remembered best for their fairy stories; also author of Grimm's law describing consonant changes in Germanic languages (1785-1863)
Grimy,thickly covered with ingrained dirt or soot
Grind,the act of grinding to a powder or dust
Griot,a storyteller in West Africa; perpetuates the oral traditions of a family or village
Gripe,informal terms for objecting
Grist,grain intended to be or that has been ground
Grits,coarsely ground hulled corn boiled as a breakfast dish in the southern United States
Groak,look or stare at longingly
Groan,an utterance expressing pain or disapproval
Groat,a former English silver coin worth four pennies
Haart,a combination of protease inhibitors taken with reverse transcriptase inhibitors; used in treating AIDS and HIV
Haber,German chemist noted for the synthetic production of ammonia from the nitrogen in air (1868-1934)
Habit,(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
Hacek,a diacritical mark (an inverted circumflex) placed above certain letters (such as the letter c) to indicate pronunciation
Hadal,relating to the deepest parts of the ocean (below 6000 meters)
Hades,(religion) the world of the dead; -Theognis
Hadji,an Arabic term of respect for someone who has made the pilgrimage to Mecca
Haick,an outer garment consisting of a large piece of white cloth; worn by men and women in northern Africa
Haida,the Na-Dene language of the Haida
Haifa,a major port in northwestern Israel
Haiku,an epigrammatic Japanese verse form of three short lines
Hairy,hazardous and frightening
Haiti,an island in the West Indies
Hajji,an Arabic term of respect for someone who has made the pilgrimage to Mecca
Hakea,Australian shrubs and small trees with evergreen usually spiny leaves and dense clusters of showy flowers
Hakim,a Muslim physician
Hakka,a dialect of Chinese spoken in southeastern China by the Hakka
Halab,a city in northwestern Syria
Halal,conforming to dietary laws
Haler,100 halers equal 1 koruna in Czech Republic
